model,id,ground_truth,original_greedy,original_uq_correct,original_uq,original_correct,original_consistency,perturbation_type,greedy_consistency,uq_consistency_rate,greedy_accuracy,uq_accuracy,mean_uq_score,flip_rate
Qwen2.5-7B,0,C,B,False,B,False,0.8,typo,0.4,0.4,0.6,0.6,0.82,0.6
Qwen2.5-7B,0,C,B,False,B,False,0.8,synonym,1.0,1.0,0.0,0.0,0.8400000000000001,0.0
Qwen2.5-7B,0,C,B,False,B,False,0.8,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,0,C,B,False,B,False,0.8,truncate,0.0,0.0,1.0,1.0,1.0,1.0
Qwen2.5-7B,0,C,B,False,B,False,0.8,paraphrase,1.0,1.0,0.0,0.0,0.74,0.0
Qwen2.5-7B,1,E,D,False,D,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,1,E,D,False,D,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,1,E,D,False,D,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,1,E,D,False,D,False,1.0,truncate,1.0,0.8,0.0,0.0,0.76,0.0
Qwen2.5-7B,1,E,D,False,D,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,2,C,C,True,C,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,2,C,C,True,C,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,2,C,C,True,C,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,2,C,C,True,C,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,2,C,C,True,C,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,3,D,D,True,D,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,3,D,D,True,D,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,3,D,D,True,D,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,3,D,D,True,D,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,3,D,D,True,D,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,4,B,B,True,B,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,4,B,B,True,B,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,4,B,B,True,B,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,4,B,B,True,B,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,4,B,B,True,B,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,5,E,C,False,C,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,5,E,C,False,C,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,5,E,C,False,C,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,5,E,C,False,C,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,5,E,C,False,C,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,6,D,A,False,A,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,6,D,A,False,A,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,6,D,A,False,A,False,1.0,shuffle,0.4,0.6,0.2,0.2,0.8800000000000001,0.6
Qwen2.5-7B,6,D,A,False,A,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,6,D,A,False,A,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,7,C,C,True,C,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,7,C,C,True,C,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,7,C,C,True,C,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,7,C,C,True,C,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,7,C,C,True,C,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,8,C,C,True,C,True,1.0,typo,0.6,0.6,0.6,0.6,0.92,0.4
Qwen2.5-7B,8,C,C,True,C,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,8,C,C,True,C,True,1.0,shuffle,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,8,C,C,True,C,True,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,8,C,C,True,C,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,9,A,A,True,A,True,1.0,typo,0.8,0.8,0.8,0.8,1.0,0.1999999999999999
Qwen2.5-7B,9,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,9,A,A,True,A,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,9,A,A,True,A,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,9,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,10,E,E,True,E,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,10,E,E,True,E,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,10,E,E,True,E,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,10,E,E,True,E,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,10,E,E,True,E,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,11,D,D,True,D,True,1.0,typo,0.8,0.8,0.8,0.8,1.0,0.1999999999999999
Qwen2.5-7B,11,D,D,True,D,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,11,D,D,True,D,True,1.0,shuffle,0.8,0.8,0.8,0.8,1.0,0.1999999999999999
Qwen2.5-7B,11,D,D,True,D,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,11,D,D,True,D,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,12,B,C,False,C,False,1.0,typo,0.6,0.6,0.4,0.4,1.0,0.4
Qwen2.5-7B,12,B,C,False,C,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,12,B,C,False,C,False,1.0,shuffle,0.0,0.2,1.0,0.8,0.92,1.0
Qwen2.5-7B,12,B,C,False,C,False,1.0,truncate,1.0,0.4,0.0,0.6,0.6599999999999999,0.0
Qwen2.5-7B,12,B,C,False,C,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,13,E,E,True,E,True,1.0,typo,0.8,0.8,0.8,0.8,0.98,0.1999999999999999
Qwen2.5-7B,13,E,E,True,E,True,1.0,synonym,1.0,1.0,1.0,1.0,0.98,0.0
Qwen2.5-7B,13,E,E,True,E,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,13,E,E,True,E,True,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,13,E,E,True,E,True,1.0,paraphrase,1.0,1.0,1.0,1.0,0.92,0.0
Qwen2.5-7B,14,D,C,False,C,False,1.0,typo,0.8,0.8,0.0,0.0,1.0,0.1999999999999999
Qwen2.5-7B,14,D,C,False,C,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,14,D,C,False,C,False,1.0,shuffle,0.8,0.8,0.2,0.2,1.0,0.1999999999999999
Qwen2.5-7B,14,D,C,False,C,False,1.0,truncate,0.0,0.0,1.0,1.0,1.0,1.0
Qwen2.5-7B,14,D,C,False,C,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,15,B,A,False,A,False,1.0,typo,0.8,0.8,0.0,0.0,0.94,0.1999999999999999
Qwen2.5-7B,15,B,A,False,A,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,15,B,A,False,A,False,1.0,shuffle,1.0,0.8,0.0,0.2,0.92,0.0
Qwen2.5-7B,15,B,A,False,A,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,15,B,A,False,A,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,16,E,D,False,D,False,1.0,typo,0.4,0.2,0.2,0.4,0.8,0.6
Qwen2.5-7B,16,E,D,False,D,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,16,E,D,False,D,False,1.0,shuffle,1.0,1.0,0.0,0.0,0.9,0.0
Qwen2.5-7B,16,E,D,False,D,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,16,E,D,False,D,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,17,E,E,True,E,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,17,E,E,True,E,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,17,E,E,True,E,True,1.0,shuffle,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,17,E,E,True,E,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,17,E,E,True,E,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,18,B,D,False,D,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,18,B,D,False,D,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,18,B,D,False,D,False,1.0,shuffle,0.4,0.4,0.4,0.4,0.8,0.6
Qwen2.5-7B,18,B,D,False,D,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,18,B,D,False,D,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,19,E,C,False,C,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,19,E,C,False,C,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,19,E,C,False,C,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,19,E,C,False,C,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,19,E,C,False,C,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,20,C,A,False,A,False,1.0,typo,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,20,C,A,False,A,False,1.0,synonym,0.2,0.2,0.0,0.0,0.8800000000000001,0.8
Qwen2.5-7B,20,C,A,False,A,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,20,C,A,False,A,False,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,20,C,A,False,A,False,1.0,paraphrase,0.4,0.4,0.0,0.0,0.94,0.6
Qwen2.5-7B,21,A,A,True,A,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,21,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,21,A,A,True,A,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,21,A,A,True,A,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,21,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,22,D,D,True,D,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,22,D,D,True,D,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,22,D,D,True,D,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,22,D,D,True,D,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,22,D,D,True,D,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,23,E,B,False,B,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,23,E,B,False,B,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,23,E,B,False,B,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,23,E,B,False,B,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,23,E,B,False,B,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,24,A,A,True,A,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,24,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,24,A,A,True,A,True,1.0,shuffle,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,24,A,A,True,A,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,24,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,25,E,E,True,E,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,25,E,E,True,E,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,25,E,E,True,E,True,1.0,shuffle,0.8,0.8,0.8,0.8,0.94,0.1999999999999999
Qwen2.5-7B,25,E,E,True,E,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,25,E,E,True,E,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,26,E,D,False,D,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,26,E,D,False,D,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,26,E,D,False,D,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,26,E,D,False,D,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,26,E,D,False,D,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,27,A,A,True,A,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,27,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,27,A,A,True,A,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,27,A,A,True,A,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,27,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,28,D,D,True,D,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,28,D,D,True,D,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,28,D,D,True,D,True,1.0,shuffle,0.2,0.2,0.2,0.2,0.96,0.8
Qwen2.5-7B,28,D,D,True,D,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,28,D,D,True,D,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,29,D,D,True,D,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,29,D,D,True,D,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,29,D,D,True,D,True,1.0,shuffle,0.2,0.4,0.2,0.4,0.8400000000000001,0.8
Qwen2.5-7B,29,D,D,True,D,True,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,29,D,D,True,D,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,30,E,E,True,E,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,30,E,E,True,E,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,30,E,E,True,E,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,30,E,E,True,E,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,30,E,E,True,E,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,31,C,D,False,D,False,1.0,typo,0.6,0.6,0.4,0.4,1.0,0.4
Qwen2.5-7B,31,C,D,False,D,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,31,C,D,False,D,False,1.0,shuffle,0.8,1.0,0.2,0.0,0.94,0.1999999999999999
Qwen2.5-7B,31,C,D,False,D,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,31,C,D,False,D,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,32,E,C,False,C,False,1.0,typo,0.8,0.8,0.0,0.0,1.0,0.1999999999999999
Qwen2.5-7B,32,E,C,False,C,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,32,E,C,False,C,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,32,E,C,False,C,False,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,32,E,C,False,C,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,33,B,E,False,E,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,33,B,E,False,E,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,33,B,E,False,E,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,33,B,E,False,E,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,33,B,E,False,E,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,34,B,E,False,E,False,1.0,typo,1.0,0.8,0.0,0.0,0.86,0.0
Qwen2.5-7B,34,B,E,False,E,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,34,B,E,False,E,False,1.0,shuffle,0.4,0.4,0.0,0.0,0.8200000000000001,0.6
Qwen2.5-7B,34,B,E,False,E,False,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,34,B,E,False,E,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,35,A,A,True,A,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,35,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,35,A,A,True,A,True,1.0,shuffle,0.2,0.2,0.2,0.2,0.96,0.8
Qwen2.5-7B,35,A,A,True,A,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,35,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,36,E,D,False,D,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,36,E,D,False,D,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,36,E,D,False,D,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,36,E,D,False,D,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,36,E,D,False,D,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,37,A,A,True,A,True,1.0,typo,0.8,0.6,0.8,0.6,0.8600000000000001,0.1999999999999999
Qwen2.5-7B,37,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,37,A,A,True,A,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,37,A,A,True,A,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,37,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,38,E,C,False,C,False,0.7,typo,0.6,0.6,0.0,0.0,0.8800000000000001,0.4
Qwen2.5-7B,38,E,C,False,C,False,0.7,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,38,E,C,False,C,False,0.7,shuffle,1.0,0.8,0.0,0.0,0.76,0.0
Qwen2.5-7B,38,E,C,False,C,False,0.7,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,38,E,C,False,C,False,0.7,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,39,A,A,True,A,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,39,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,39,A,A,True,A,True,1.0,shuffle,0.0,0.0,0.0,0.0,0.94,1.0
Qwen2.5-7B,39,A,A,True,A,True,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,39,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,40,D,D,True,D,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,40,D,D,True,D,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,40,D,D,True,D,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,40,D,D,True,D,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,40,D,D,True,D,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,41,C,C,True,C,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,41,C,C,True,C,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,41,C,C,True,C,True,1.0,shuffle,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,41,C,C,True,C,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,41,C,C,True,C,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,42,A,C,False,C,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,42,A,C,False,C,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,42,A,C,False,C,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,42,A,C,False,C,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,42,A,C,False,C,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,43,C,D,False,D,False,1.0,typo,1.0,1.0,0.0,0.0,0.92,0.0
Qwen2.5-7B,43,C,D,False,D,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,43,C,D,False,D,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,43,C,D,False,D,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,43,C,D,False,D,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,44,B,B,True,B,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,44,B,B,True,B,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,44,B,B,True,B,True,1.0,shuffle,0.8,0.8,0.8,0.8,0.94,0.1999999999999999
Qwen2.5-7B,44,B,B,True,B,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,44,B,B,True,B,True,1.0,paraphrase,1.0,1.0,1.0,1.0,0.94,0.0
Qwen2.5-7B,45,E,A,False,A,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,45,E,A,False,A,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,45,E,A,False,A,False,1.0,shuffle,0.2,0.2,0.0,0.0,1.0,0.8
Qwen2.5-7B,45,E,A,False,A,False,1.0,truncate,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,45,E,A,False,A,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,46,C,B,False,B,False,1.0,typo,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,46,C,B,False,B,False,1.0,synonym,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,46,C,B,False,B,False,1.0,shuffle,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,46,C,B,False,B,False,1.0,truncate,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,46,C,B,False,B,False,1.0,paraphrase,1.0,1.0,0.0,0.0,1.0,0.0
Qwen2.5-7B,47,A,A,True,A,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,47,A,A,True,A,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,47,A,A,True,A,True,1.0,shuffle,0.8,0.8,0.8,0.8,1.0,0.1999999999999999
Qwen2.5-7B,47,A,A,True,A,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,47,A,A,True,A,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,48,B,B,True,B,True,1.0,typo,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,48,B,B,True,B,True,1.0,synonym,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,48,B,B,True,B,True,1.0,shuffle,0.0,0.0,0.0,0.0,1.0,1.0
Qwen2.5-7B,48,B,B,True,B,True,1.0,truncate,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,48,B,B,True,B,True,1.0,paraphrase,1.0,1.0,1.0,1.0,1.0,0.0
Qwen2.5-7B,49,D,E,True,D,False,0.6,typo,0.2,0.6,0.8,0.6,0.94,0.8
Qwen2.5-7B,49,D,E,True,D,False,0.6,synonym,1.0,0.0,0.0,0.0,0.68,0.0
Qwen2.5-7B,49,D,E,True,D,False,0.6,shuffle,0.0,1.0,1.0,1.0,1.0,1.0
Qwen2.5-7B,49,D,E,True,D,False,0.6,truncate,0.0,1.0,1.0,1.0,1.0,1.0
